"date","age_group","deaths_boost_vac_rate_7ma","deaths_full_vac_rate_7ma","deaths_not_full_vac_rate_7ma"
2021-03-01,"0-4yrs",0.00,0.00,0.00
2021-03-01,"5-11yrs",0.00,0.00,0.00
2021-03-01,"12-17yrs",0.00,0.00,0.00
2021-03-01,"18-39yrs",0.00,0.00,0.00
2021-03-01,"40-59yrs",0.00,0.00,0.02
2021-03-01,"60+",0.00,0.00,0.35
2021-03-01,"ALL",0.00,0.00,0.09
2021-03-02,"0-4yrs",0.00,0.00,0.00
2021-03-02,"5-11yrs",0.00,0.00,0.00
2021-03-02,"12-17yrs",0.00,0.00,0.00
2021-03-02,"18-39yrs",0.00,0.00,0.00
2021-03-02,"40-59yrs",0.00,0.00,0.04
2021-03-02,"60+",0.00,0.00,0.34
2021-03-02,"ALL",0.00,0.00,0.09
2021-03-03,"0-4yrs",0.00,0.00,0.00
2021-03-03,"5-11yrs",0.00,0.00,0.00
2021-03-03,"12-17yrs",0.00,0.00,0.00
2021-03-03,"18-39yrs",0.00,0.00,0.00
2021-03-03,"40-59yrs",0.00,0.00,0.04
2021-03-03,"60+",0.00,0.00,0.32
2021-03-03,"ALL",0.00,0.00,0.09
2021-03-04,"0-4yrs",0.00,0.00,0.00
2021-03-04,"5-11yrs",0.00,0.00,0.00
2021-03-04,"12-17yrs",0.00,0.00,0.00
2021-03-04,"18-39yrs",0.00,0.00,0.00
2021-03-04,"40-59yrs",0.00,0.00,0.04
2021-03-04,"60+",0.00,0.00,0.33
2021-03-04,"ALL",0.00,0.00,0.09
2021-03-05,"0-4yrs",0.00,0.00,0.00
2021-03-05,"5-11yrs",0.00,0.00,0.00
2021-03-05,"12-17yrs",0.00,0.00,0.00
2021-03-05,"18-39yrs",0.00,0.00,0.00
2021-03-05,"40-59yrs",0.00,0.00,0.03
2021-03-05,"60+",0.00,0.00,0.30
2021-03-05,"ALL",0.00,0.00,0.08
2021-03-06,"0-4yrs",0.00,0.00,0.00
2021-03-06,"5-11yrs",0.00,0.00,0.00
2021-03-06,"12-17yrs",0.00,0.00,0.00
2021-03-06,"18-39yrs",0.00,0.00,0.00
2021-03-06,"40-59yrs",0.00,0.00,0.03
